iter	Logloss
0	0.6887149939
1	0.6839309122
2	0.6792102029
3	0.6748832163
4	0.6713372536
5	0.6675745554
6	0.6636633159
7	0.6595490224
8	0.6562846957
9	0.6530901216
10	0.6499728595
11	0.6469525866
12	0.6443180947
13	0.6412725942
14	0.6385714819
15	0.6358161321
16	0.6327920746
17	0.6304378979
18	0.6282269059
19	0.626169678
20	0.6239756652
21	0.6221060629
22	0.6201041088
23	0.6180997968
24	0.6160242365
25	0.6139354836
26	0.6117054503
27	0.6095129617
28	0.6078690236
29	0.6061203215
30	0.6042333215
31	0.6025552114
32	0.601230534
33	0.5993140163
34	0.5979950718
35	0.597006375
36	0.5956200932
37	0.5944671687
38	0.5937895547
39	0.592991876
40	0.591828802
41	0.5909438745
42	0.5902649816
43	0.589276534
44	0.588236773
45	0.5872494282
46	0.5867767027
47	0.5858132077
48	0.5846862203
49	0.5833885681
50	0.5828667625
51	0.5820139717
52	0.5812697087
53	0.580176921
54	0.5793730327
55	0.5783873864
56	0.5774421276
57	0.5766643653
58	0.5759860488
59	0.5750935242
60	0.5742055203
61	0.5737089364
62	0.5730339977
63	0.5725037564
64	0.5718465054
65	0.5712795346
66	0.5706801115
67	0.5699692686
68	0.5694967411
69	0.5689453304
70	0.5683628177
71	0.5675510098
72	0.566658095
73	0.5659205225
74	0.5654847807
75	0.5648361794
76	0.5643933627
77	0.5639624952
78	0.5636454968
79	0.5632281502
80	0.5627153922
81	0.5622916981
82	0.561901483
83	0.5616714375
84	0.5612957848
85	0.5610546046
86	0.5605536864
87	0.5600760047
88	0.5597204123
89	0.5592968416
90	0.558916796
91	0.5585845406
92	0.5581765667
93	0.5578115795
94	0.5574437775
95	0.5571545585
96	0.5566924881
97	0.5563217917
98	0.5560800217
99	0.5557365749
100	0.5554143875
101	0.5550992643
102	0.5550091956
103	0.5547179923
104	0.5543301845
105	0.5539528336
106	0.5536787573
107	0.5533593994
108	0.5529148257
109	0.5527276184
110	0.5522900197
111	0.5520204017
112	0.5516495201
113	0.551212776
114	0.5509562766
115	0.5506336573
116	0.550258119
117	0.5500483098
118	0.5497235083
119	0.5494726917
120	0.5493004524
121	0.549044004
122	0.5486211332
123	0.5483975235
124	0.5481110398
125	0.5478441578
126	0.5476053423
127	0.5472699212
128	0.5470807064
129	0.5468493534
130	0.5466151083
131	0.5464429822
132	0.5462207636
133	0.5459577082
134	0.5456918756
135	0.5455205084
136	0.5452639233
137	0.5450803674
138	0.5448085663
139	0.5445756832
140	0.5444161258
141	0.544171769
142	0.5437524957
143	0.5436076307
144	0.5434030836
145	0.543178992
146	0.5430269022
147	0.5426958028
148	0.5424447783
149	0.5423761988
150	0.5420742009
151	0.5418321913
152	0.54165
153	0.5413893418
154	0.5410860094
155	0.5408168203
156	0.5405323531
157	0.5403118517
158	0.5400728641
159	0.5398287088
160	0.5396627279
161	0.5393689542
162	0.5391172294
163	0.5389590893
164	0.5388239484
165	0.5386542895
166	0.5384072115
167	0.5381153064
168	0.5378820727
169	0.5376488726
170	0.5374278071
171	0.5370902184
172	0.5368615211
173	0.5366328037
174	0.5364654404
175	0.5361639356
176	0.5359558478
177	0.5358540033
178	0.5355477733
179	0.5353561365
180	0.5351876187
181	0.5350363663
182	0.5348090197
183	0.5345244046
184	0.5343471005
185	0.5341772574
186	0.5340305785
187	0.5337777751
188	0.5336339604
189	0.5335242877
190	0.5333537713
191	0.5330691017
192	0.5328507253
193	0.532701294
194	0.5324585228
195	0.5323167326
196	0.5320830375
197	0.5319156366
198	0.5317536899
199	0.5316438801
